"Comment","Taxon","Taxon_Path"
"Carbonate:Ctenophora Tentaculata Platyctenida:Arthropoda Crustacea Malacostraca Decapoda:OverhangVideo highlight:","Platyctenida","Biota / Animalia / Ctenophora / Tentaculata / Platyctenida"
"Chordata Chondrichthyes Holocephali Chimaeriformes:","Chimaeriformes","Biota / Animalia / Chordata / Holocephali / Chimaeriformes"
"Annelida:","Annelida","Biota / Animalia / Annelida"
"Cnidaria Anthozoa Hexacorallia Actiniaria:","Actiniaria","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria"
"Arthropoda Crustacea Malacostraca Decapoda Peracarida Amphipoda:","Amphipoda","Biota / Animalia / Arthropoda / Malacostraca / Amphipoda"
"Chordata Tunicata Appendicularia Copelata: my uncle Wally","Tunicata","Biota / Animalia / Chordata / Tunicata"
"MOLLUSCA Bivalvia:Bathymodiolus many live:","Bathymodiolus","Biota / Animalia / Mollusca / Bivalvia / Mytilida / Mytilidae / Bathymodiolus"
"Arthropoda Crustacea Malacostraca Decapoda: swim for your lives!","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"MOLLUSCA Bivalvia: you guys are toast","Bivalvia","Biota / Animalia / Mollusca / Bivalvia"
"Mollusca Gastropoda: grazing and bioturbating","Gastropoda","Biota / Animalia / Mollusca / Gastropoda"
"Chordata Chondrichthyes Elasmobranchii:megalodon!","Elasmobranchii","Biota / Animalia / Chordata / Elasmobranchii"
"Cnidaria Hydrozoa  Siphonophorae:","Siphonophorae","Biota / Animalia / Cnidaria / Hydrozoa / Siphonophorae"
"Chordata Actinopterygii Elopmorpha Anguilliformes:","Anguilliformes","Biota / Animalia / Chordata / Teleostei / Anguilliformes"
"Arthropoda Crustacea Malacostraca Decapoda Peracarida Isopoda: ","Isopoda","Biota / Animalia / Arthropoda / Malacostraca / Isopoda"
"Cnidaria Anthozoa Octocorallia Pennatulacea: Anthoptilum","Anthoptilum","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Anthoptilidae / Anthoptilum"
"Chordata Actinopterygii Aulopiformes Ipnopidae:Bathypterois","Bathypterois","Biota / Animalia / Chordata / Teleostei / Aulopiformes / Ipnopidae / Bathypterois"
"Echinodermata Ophiuroidea: ","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Cnidaria Anthozoa Hexacorallia Actiniaria: Actinoscyphia","Actinoscyphia","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria / Actinoscyphiidae / Actinoscyphia"
"Cnidaria Medusozoa Hydrozoa:","Hydrozoa","Biota / Animalia / Cnidaria / Hydrozoa"
"Cnidaria Anthozoa Octocorallia Alcyonacea Isididae: Acanella ","Acanella","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Keratoisididae / Acanella"
"Cnidaria Anthozoa Hexacorallia Actiniaria:","Actiniaria","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria"
"Porifera: dead","Porifera","Biota / Animalia / Porifera"
"Cnidaria Anthozoa Octocorallia Alcyonacea Isididae: Acanella ","Acanella","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Keratoisididae / Acanella"
"Echinodermata Ophiuroidea: Ophiomusium many","Ophiomusium","Biota / Animalia / Echinodermata / Ophiuroidea / Ophiurida / Ophiosphalmidae / Ophiomusium"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea: with Cnidaria Anthozoa Hexacorallia Actiniaria: on back","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Echinodermata Ophiuroidea: Ophiomusium","Ophiomusium","Biota / Animalia / Echinodermata / Ophiuroidea / Ophiurida / Ophiosphalmidae / Ophiomusium"
