"Cruise_Name","cruise","dive_number","Dive_ID","start_date_time_UTC","end_date_time_UTC","Annotation_ID","Annotation_Source","creator","modifier","modified_date_UTC","Comment","To_Be_Reviewed","positive_reviews","total_reviews","Geoform","Geoform_Origin","Geoform_Type","annotation_type","Taxon_Path","Taxonomy","Taxon","Kingdom","Phylum","Subphylum","Superfamily","Family","Subfamily","Superclass","Class","Superorder","Order","Genus","Species","ROV1_tempC","ROV1_tempC_time","ROV1_tempC_SBE","ROV1_tempC_SBE_time","ROV1_lat_dd","ROV1_lon_dd","ROV1_O2_mgL","ROV1_O2_mgL_time","ROV1_S_psu_time","ROV1_S_psu","ROV1_t_FTU","ROV1_t_FTU_time","ROV1_depth_m","ROV1_depth_m_time"
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:23:39,2018-06-10 20:23:39,"1559323","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:24:37,"Carbonate:Ctenophora Tentaculata Platyctenida:Arthropoda Crustacea Malacostraca Decapoda:OverhangVideo highlight:","false","","","","","","biological","Biota / Animalia / Ctenophora / Tentaculata / Platyctenida ","WoRMS","Platyctenida","Animalia","Ctenophora","","",NA,"","","Tentaculata","","Platyctenida",NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:23:39,2018-06-10 20:23:39,"1559383","SeaScribe","cheryl_morrison","cheryl_morrison",2018-06-10 20:26:59,"Chordata Chondrichthyes Holocephali Chimaeriformes:","false","","","","","","biological","Biota / Animalia / Chordata / Holocephali / Chimaeriformes ","WoRMS","Chimaeriformes","Animalia","Chordata","","",NA,"","","Holocephali","","Chimaeriformes",NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:25:58,2018-06-10 20:25:58,"1559343","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:26:37,"Annelida:","false","","","","","","biological","Biota / Animalia / Annelida ","WoRMS","Annelida","Animalia","Annelida","","",NA,"","",NA,"",NA,NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:25:58,2018-06-10 20:25:58,"1559353","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:26:47,"Cnidaria Anthozoa Hexacorallia Actiniaria:","false","","","","","","biological","Biota / Animalia / Cnidaria / Anthozoa / Actiniaria ","WoRMS","Actiniaria","Animalia","Cnidaria","","",NA,"","","Anthozoa","","Actiniaria",NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:26:57,2018-06-10 20:26:57,"1559413","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:27:50,"Arthropoda Crustacea Malacostraca Decapoda Peracarida Amphipoda:","false","","","","","","biological","Biota / Animalia / Arthropoda / Malacostraca / Amphipoda ","WoRMS","Amphipoda","Animalia","Arthropoda","","",NA,"","","Malacostraca","","Amphipoda",NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:26:57,2018-06-10 20:26:57,"1559423","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:28:08,"Chordata Tunicata Appendicularia Copelata: my uncle Wally","false","","","","","","biological","Biota / Animalia / Chordata ","WoRMS","Tunicata","Animalia","Chordata","","",NA,"","",NA,"",NA,NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:27:28,2018-06-10 20:27:28,"1559483","SeaScribe","cheryl_morrison","cheryl_morrison",2018-06-10 20:31:13,"MOLLUSCA Bivalvia:Bathymodiolus many live:","false","","","","","","biological","Biota / Animalia / Mollusca / Bivalvia / Mytilida / Mytilidae / Bathymodiolus","WoRMS","Bathymodiolus","Animalia","Mollusca","","","Mytilidae","","","Bivalvia","","Mytilida","Bathymodiolus","","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:28:12,2018-06-10 20:28:12,"1559453","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:28:55,"Arthropoda Crustacea Malacostraca Decapoda: swim for your lives!","false","","","","","","biological","Biota / Animalia / Arthropoda / Malacostraca / Decapoda ","WoRMS","Decapoda","Animalia","Arthropoda","","",NA,"","","Malacostraca","","Decapoda",NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:28:12,2018-06-10 20:28:12,"1559473","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:29:35,"MOLLUSCA Bivalvia: you guys are toast","false","","","","","","biological","Biota / Animalia / Mollusca / Bivalvia ","WoRMS","Bivalvia","Animalia","Mollusca","","",NA,"","","Bivalvia","",NA,NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
"NOAA OER Mid and Southeast US (EX1806)","EX1806","test","1193",2018-06-10 20:32:40,2018-06-10 20:32:40,"1559533","SeaScribe","leslie_sautter","leslie_sautter",2018-06-10 20:33:26,"Mollusca Gastropoda: grazing and bioturbating","false","","","","","","biological","Biota / Animalia / Mollusca / Gastropoda ","WoRMS","Gastropoda","Animalia","Mollusca","","",NA,"","","Gastropoda","",NA,NA,"","",NA,"",NA,"","","",NA,NA,"","",NA,"",NA
